sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
130,JUST DESIGNER BRANDS LIMITED,11406651,Private Limited Company,Active,United Kingdom,08/06/2018,,,14 SHEARBRIDGE ROAD,,BRADFORD,,UNITED KINGDOM,BD7 1NP,TOTAL EXEMPTION FULL,47710 - Retail sale of clothing in specialised stores,,,,http://business.data.gov.uk/id/company/11406651,,,,,,,,,,,,,,
131,SOLVORO LTD,16538153,Private Limited Company,Active,United Kingdom,24/06/2025,,4385,16538153 - COMPANIES HOUSE DEFAULT ADDRESS,,CARDIFF,,,CF14 8LH,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,,,,http://business.data.gov.uk/id/company/16538153,,,,,,,,,,,,,,
132,VS ORTHO LIMITED,09522246,Private Limited Company,Active,United Kingdom,01/04/2015,,,21 ELM ROAD,HALE,ALTRINCHAM,,ENGLAND,WA15 9QP,MICRO ENTITY,86230 - Dental practice activities,,,,http://business.data.gov.uk/id/company/09522246,,,,,,,,,,,,,,
133,AUTY SQUARE MANAGEMENT COMPANY LIMITED,09602233,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,21/05/2015,,,SYCAMORE HOUSE HIGH STREET,MORLEY,LEEDS,,ENGLAND,LS27 9AW,TOTAL EXEMPTION FULL,98000 - Residents property management,,,,http://business.data.gov.uk/id/company/09602233,,,,,,,,,,,,,,
134,ENGINEERING DIAMONDS LIMITED,04104009,Private Limited Company,Active,United Kingdom,08/11/2000,,,ENGINEERING DIAMONDS,BODMIN ROAD WYKEN,COVENTRY,WARWICKSHIRE,,CV2 5DL,TOTAL EXEMPTION FULL,25620 - Machining,,,,http://business.data.gov.uk/id/company/04104009,,,,,,,,,,,,,,
135,FOOT GOLF WISE LIMITED,09511517,Private Limited Company,Active,United Kingdom,26/03/2015,,,"C/O CBHC LTD, STEEPLE HOUSE SUITE 3, FIRST FLOOR",CHURCH LANE,CHELMSFORD,ESSEX,ENGLAND,CM1 1NH,TOTAL EXEMPTION FULL,93199 - Other sports activities,,,,http://business.data.gov.uk/id/company/09511517,,,,,,,,,,,,,,
136,WESTFIELD SYSTEMS LP,SL011111,Limited Partnership,Active,United Kingdom,06/08/2012,,,39 DUKE STREET,,EDINBURGH,,UNITED KINGDOM,EH6 8HH,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/SL011111,,,,,,,,,,,,,,
137,HC ESS4 LIMITED,10846400,Private Limited Company,Active,United Kingdom,03/07/2017,,,C/O GRESHAM HOUSE ASSET MANAGEMENT LIMITED,5 NEW STREET SQUARE,LONDON,,ENGLAND,EC4A 3TW,FULL,35110 - Production of electricity,,,,http://business.data.gov.uk/id/company/10846400,,,,,,,,,,,,,,
138,MTY DIGITAL LTD,16870892,Private Limited Company,Active,United Kingdom,24/11/2025,,,C/O GIFCO GROUP LTD ADMIRALS OFFICES,THE HISTORIC DOCKYARD,CHATHAM,,ENGLAND,ME4 4TZ,NO ACCOUNTS FILED,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/16870892,,,,,,,,,,,,,,
139,BYRECROFT LTD,16650513,Private Limited Company,Active,United Kingdom,14/08/2025,,,1 STATION ROAD,NORTH COWTON,NORTHALLERTON,,ENGLAND,DL7 0HH,NO ACCOUNTS FILED,41201 - Construction of commercial buildings,41202 - Construction of domestic buildings,43330 - Floor and wall covering,,http://business.data.gov.uk/id/company/16650513,,,,,,,,,,,,,,
